i,local_result
1,389
2,775
3,1154
4,1888
5,2359
6,2821
7,3392
8,3880
9,4368
10,4856
11,472.5
12,944.5
13,1414.5
14,1876.5
15,2150.5
16,2528.5
17,2911.5
18,3291.5
19,3678.5
20,4052.5
21,2573.5
22,5181
23,3160.5
24,3404.5
25,3702.5
26,4008.5
27,7188.5
28,4604.5
29,8251.5
30,8697.5
31,5468.5
32,5752.5
33,10100
34,10359
35,6633.5
36,6927.5
37,7218.5
38,7520.5
39,7789.5
40,8050.5
41,8311.5
42,8606.5
43,8906.5
44,13315.5
45,9518.5
46,9787.5
47,10093.5
48,10382.5
49,10625.5
50,10794.5
51,11094.5
52,18222
53,11666.5
54,11817.5
55,12109.5
56,12412.5
57,12722.5
58,13024.5
59,13318.5
60,13617.5
61,13920.5
62,14141.5
63,14443.5
64,14747.5
65,15014.5
66,15320.5
67,15615.5
68,22141.5
69,18345
70,18529
71,18719
72,18919
73,19104
74,19305
75,19494
76,19685
77,19877
78,20071
79,20257
80,20442
81,30431
82,26454.5
83,26765.5
84,21187
85,21375
86,28707.5
87,21752
88,21946
89,22143
90,33637
91,22508
92,34069
93,34423
94,23068
95,23255
96,23451
97,23625
98,23809
99,24001
100,24200
101,24389
102,24578
103,24768
104,24956
105,25137
106,25329
107,25517
108,25694
109,25886
110,26077
111,26263
112,26456
113,26629
114,26805
115,26984
116,27181
117,27375
118,27568
119,27763
120,27948
121,28144
122,28319
123,28507
124,28694
125,46253
126,29077
127,42579.5
128,20462.5
129,49424
130,42572
131,44175.5
132,44594.5
133,44992.5
134,45391.5
135,45475
136,51276
137,49768.5
138,23323.5
139,43998
140,47458
141,47857
142,43389.5
143,54308
144,7254
145,7324
146,7361
147,47996.5
148,7399
149,55289.5
150,48744.5
151,54348.5
152,27971.5
153,7716
154,57364.5
155,55951.5
156,7981
157,8006
158,60376.5
159,60806.5
160,61682
161,28172.5
162,62554
163,8215
164,62092
165,63746
166,63530
167,62782.5
168,63204.5
169,58424.5
170,64041.5
171,64462.5
172,64884.5
173,56397
174,8745
175,8758
176,8837
177,8853
178,8890
179,11160.5
180,9013
181,9084
182,9109
183,9144
184,9184
185,9241
186,57498
187,57838
188,9366
189,27910
190,9404
191,9430
192,53800
193,72990
194,66802
195,65688.5
196,34227.5
197,66378.5
198,40487.5
199,67123.5
200,80865
201,79124
202,51022
203,67771
204,71572.5
205,80774
206,77949.5
207,61352
208,61662
209,12336.5
210,62288
211,79877.5
212,62901
213,78862.5
214,63516
215,82362.5
216,64155
217,77658.5
218,86297
219,86712
220,86995
221,87400
222,66053
223,66362
224,66663
225,88293
226,41526.5
227,89069
228,76097.5
229,75974
230,91145
231,90755
232,76163
233,76988
234,91995
235,87287
236,84770.5
237,93352
238,93740
239,81234.5
240,94479
241,94872
242,95309
243,82664.5
244,97086
245,97500
246,97904
247,98192
248,98614
249,5488
250,82822
251,389
252,770
253,750
254,1046
255,1789
256,2136
257,2485
258,3851
259,3939.5
260,4884.5
261,3679.5
262,4338.5
263,4344
264,4675
265,5505.5
266,7281
267,7111
268,8182
269,4567
270,8805.5
271,7002
272,7326
273,11207.5
274,11687.5
275,11137
276,6589
277,9741
278,12324
279,14096
280,7572
281,11202
282,8180
283,8438
284,15781.5
285,16812
286,12998
287,13356
288,13723
289,13689.5
290,14440
291,14807
292,15157
293,19172
294,18258
295,9479.5
296,9689.5
297,9875.5
298,22935
299,20348
300,24134
301,19772
302,16734.5
303,25100.5
304,24521.5
305,25000.5
306,26927.5
307,20708
308,25549.5
309,26028.5
310,28907.5
311,27336
312,28411
313,27944.5
314,30823.5
315,31316
316,29381.5
317,12191
318,30339.5
319,30818.5
320,16755.5
321,31435.5
322,33635.5
323,32290.5
324,34017
325,34458
326,36244
327,36712
328,35807
329,34546
330,33966
331,37144
332,34799
333,39828.5
334,39194.5
335,38152.5
336,31597
337,38275.5
338,39477
339,32595.5
340,38222.5
341,39994.5
342,42848.5
343,43190.5
344,43638.5
345,34824
346,43868
347,40934
348,35872
349,44252
350,36572
351,23282.5
352,40188
353,43564.5
354,44003.5
355,44412.5
356,36051.5
357,39087
358,39444
359,39830
360,46477.5
361,52359.5
362,50345
363,53288.5
364,44791
365,47162
366,45513
367,53233
368,54541.5
369,26333.5
370,57371.5
371,54977
372,21911
373,55818
374,50551
375,45228
376,60141.5
377,360
378,704
379,1023.5
380,1664
381,1400.5
382,2181
383,2546
384,2911
385,3074
386,2108
387,4005
388,4367
389,4733
390,5097
391,5455
392,3435
393,5830.5
394,6171.5
395,6516.5
396,9141
397,8610.5
398,7359
399,9814
400,5452
401,9565.5
402,11880
403,6296
404,6524
405,6824
406,7103
407,7321
408,11336.5
409,14597
410,8089
411,14488.5
412,15531
413,17084.5
414,17558.5
415,18036.5
416,18515.5
417,14568
418,14597
419,18742
420,19362.5
421,19823.5
422,20280.5
423,20722.5
424,22406.5
425,20703.5
426,21730.5
427,16890
428,16765.5
429,20508
430,25362
431,25852
432,26134.5
433,26610.5
434,25020
435,14733
436,15066
437,28332
438,15725
439,19270
440,26962.5
441,16742
442,15847.5
443,29446.5
444,30383.5
445,16822.5
446,19422
447,33053
448,33817.5
449,34742
450,20700
451,34991
452,35430.5
453,20321
454,19281.5
455,37535
456,21272
457,36388
458,33506.5
459,33795.5
460,34085.5
461,39016
462,39551.5
463,39845.5
464,40139.5
465,37742.5
466,40486
467,27242
468,41552
469,36691.5
470,37482
471,38031
472,42491.5
473,42688.5
474,43316
475,38931
476,43904
477,44198
478,44492
479,40671
480,44492
481,45137.5
482,41231
483,41259
484,46256
485,38447.5
486,41610.5
487,47138
488,47098.5
489,47392.5
490,47783.5
491,48314
492,43346.5
493,43637.5
494,29047.5
495,47538
496,47832
497,48126
498,50372
499,50332.5
500,51156
501,119
502,156
503,833
504,1108
